School Name,School Name [Public School] 2010-11,School ID - NCES Assigned [Public School] 2010-11,Agency Name [Public School] 2010-11,Agency ID - NCES Assigned [Public School] 2010-11,County Name [Public School] 2010-11,County Number [Public School] 2010-11,Location Address [Public School] 2010-11,Location City [Public School] 2010-11,Location State Abbr [Public School] 2010-11,Location ZIP [Public School] 2010-11,Location ZIP4 [Public School] 2010-11,Phone Number [Public School] 2010-11,School Type [Public School] 2010-11,Agency Type [District] 2010-11,Operational Status [Public School] 2010-11,Charter School [Public School] 2010-11,Latitude [Public School] 2010-11,Longitude [Public School] 2010-11,State School ID [Public School] 2010-11,State Agency ID [Public School] 2010-11
"LIVINGSTON, NJ",LIVINGSTON,341122000000,NEW BRUNSWICK,3411220,MIDDLESEX COUNTY,34023,206 DELAVAN ST,NEW BRUNSWICK,NJ,8901,3035,7327455300,1-Regular school,1-Local school district,1-Currently operational,2-No,40.485221,-74.450545,90,233530
"LIVINGSTON, NJ",LIVINGSTON,341650000000,UNION TOWNSHIP,3416500,UNION COUNTY,34039,MIDLAND BLVD,UNION,NJ,7083,7497,9088516440,1-Regular school,1-Local school district,1-Currently operational,2-No,40.68864,-74.25067,130,395290
"LIVINGSTON AVE SCH, NJ",LIVINGSTON AVE SCH,340357000000,CRANFORD TOWNSHIP,3403570,UNION COUNTY,34039,75 LIVINGSTON AVE,CRANFORD,NJ,7016,2868,9087096248,1-Regular school,1-Local school district,1-Currently operational,2-No,40.644883,-74.310251,80,390980
"LIVINGSTON MANOR ELEMENTARY SCHOOL, NY",LIVINGSTON MANOR ELEMENTARY SCHOOL,361758000000,LIVINGSTON MANOR CENTRAL SCHOOL DISTRICT,3617580,SULLIVAN COUNTY,36105,19 SCHOOL ST,LIVINGSTON MANOR,NY,12758,947,8454395656,1-Regular school,1-Local school district,1-Currently operational,2-No,41.903604,-74.827876,591302000000,591302000000
"LIVINGSTON MANOR HIGH SCHOOL, NY",LIVINGSTON MANOR HIGH SCHOOL,361758000000,LIVINGSTON MANOR CENTRAL SCHOOL DISTRICT,3617580,SULLIVAN COUNTY,36105,19 SCHOOL ST,LIVINGSTON MANOR,NY,12758,947,8454395621,1-Regular school,1-Local school district,1-Currently operational,2-No,41.903604,-74.827876,591302000000,591302000000
"LIVINGSTON PARK, NJ",LIVINGSTON PARK,341149000000,NORTH BRUNSWICK TOWNSHIP,3411490,MIDDLESEX COUNTY,34023,1128 LIVINGSTON AVE,NORTH BRUNSWICK,NJ,8902,1886,7322893302,1-Regular school,1-Local school district,1-Currently operational,2-No,40.466445,-74.47337,70,233620
"LIVINGSTON SR  HIGH, NJ",LIVINGSTON SR  HIGH,340882000000,LIVINGSTON TOWNSHIP,3408820,ESSEX COUNTY,34013,33 ROBERT HARP DR,LIVINGSTON,NJ,7039,3987,9735358000,1-Regular school,1-Local school district,1-Currently operational,2-No,40.784017,-74.317203,50,132730
"LIVONIA INTERMEDIATE SCHOOL, NY",LIVONIA INTERMEDIATE SCHOOL,361764000000,LIVONIA CENTRAL SCHOOL DISTRICT,3617640,LIVINGSTON COUNTY,36051,40 SPRING ST,LIVONIA,NY,14487,489,5853464000,1-Regular school,1-Local school district,1-Currently operational,2-No,42.817308,-77.66742,240801000000,240801000000
"LIVONIA JUNIOR HIGH SCHOOL, NY",LIVONIA JUNIOR HIGH SCHOOL,361764000000,LIVONIA CENTRAL SCHOOL DISTRICT,3617640,LIVINGSTON COUNTY,36051,20 MEMORIAL DR,LIVONIA,NY,14487,489,5853464000,1-Regular school,1-Local school district,1-Currently operational,2-No,42.813496,-77.663668,240801000000,240801000000
"LIVONIA PRIMARY SCHOOL, NY",LIVONIA PRIMARY SCHOOL,361764000000,LIVONIA CENTRAL SCHOOL DISTRICT,3617640,LIVINGSTON COUNTY,36051,6 PUPPY LN,LIVONIA,NY,14487,489,5853464000,1-Regular school,1-Local school district,1-Currently operational,2-No,42.816114,-77.665425,240801000000,240801000000
"LIVONIA SENIOR HIGH SCHOOL, NY",LIVONIA SENIOR HIGH SCHOOL,361764000000,LIVONIA CENTRAL SCHOOL DISTRICT,3617640,LIVINGSTON COUNTY,36051,2 BULLDOG BLVD,LIVONIA,NY,14487,489,5853464000,1-Regular school,1-Local school district,1-Currently operational,2-No,42.811376,-77.665204,240801000000,240801000000
"LLOYD HARBOR SCHOOL, NY",LLOYD HARBOR SCHOOL,360801000000,COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT,3608010,SUFFOLK COUNTY,36103,7 SCHOOL LN,HUNTINGTON,NY,11743,1039,6316378800,1-Regular school,1-Local school district,1-Currently operational,2-No,40.900119,-73.46231,580402000000,580402000000
"LLOYD ROAD, NJ",LLOYD ROAD,340975000000,MATAWAN-ABERDEEN REGIONAL,3409750,MONMOUTH COUNTY,34025,401 LLOYD RD,ABERDEEN,NJ,7747,1800,7327055700,1-Regular school,1-Local school district,1-Currently operational,2-No,40.400177,-74.218516,65,253040
"LOCKHART ELEMENTARY SCHOOL, NY",LOCKHART ELEMENTARY SCHOOL,361863000000,MASSAPEQUA UNION FREE SCHOOL DISTRICT,3618630,NASSAU COUNTY,36059,199 PITTSBURG AVE,MASSAPEQUA,NY,11758,4696,5163085401,1-Regular school,1-Local school district,1-Currently operational,2-No,40.684883,-73.465178,280523000000,280523000000
"LOCKPORT HIGH SCHOOL, NY",LOCKPORT HIGH SCHOOL,361767000000,LOCKPORT CITY SCHOOL DISTRICT,3617670,NIAGARA COUNTY,36063,250 LINCOLN AVE,LOCKPORT,NY,14094,5099,7164784452,1-Regular school,1-Local school district,1-Currently operational,2-No,43.154019,-78.688589,400400000000,400400000000
"LOCUST SCHOOL, NY",LOCUST SCHOOL,361176000000,GARDEN CITY UNION FREE SCHOOL DISTRICT,3611760,NASSAU COUNTY,36059,220 BOYLSTON ST,GARDEN CITY,NY,11530,216,5164781800,1-Regular school,1-Local school district,1-Currently operational,2-No,40.727784,-73.615065,280218000000,280218000000
"LOCUST VALLEY ELEMENTARY SCHOOL, NY",LOCUST VALLEY ELEMENTARY SCHOOL,361770000000,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,3617700,NASSAU COUNTY,36059,119 RYEFIELD RD,LOCUST VALLEY,NY,11560,1195,5166746400,1-Regular school,1-Local school district,1-Currently operational,2-No,40.88242,-73.588604,280503000000,280503000000
"LOCUST VALLEY HIGH SCHOOL, NY",LOCUST VALLEY HIGH SCHOOL,361770000000,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,3617700,NASSAU COUNTY,36059,99 HORSE HOLLOW RD,LOCUST VALLEY,NY,11560,1199,5166746305,1-Regular school,1-Local school district,1-Currently operational,2-No,40.89152,-73.586557,280503000000,280503000000
"LOCUST VALLEY MIDDLE SCHOOL, NY",LOCUST VALLEY MIDDLE SCHOOL,361770000000,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,3617700,NASSAU COUNTY,36059,99 HORSE HOLLOW RD,LOCUST VALLEY,NY,11560,1199,5166746370,1-Regular school,1-Local school district,1-Currently operational,2-No,40.89152,-73.586557,280503000000,280503000000
"LODI ANNEX, NJ",LODI ANNEX,340001000000,SOUTH BERGEN JOINTURE COM,3400007,BERGEN COUNTY,34003,123 UNION ST,LODI,NJ,7644,,9732490995,2-Special education school,1-Local school district,1-Currently operational,2-No,40.875124,-74.080821,50,34845
"LODI HIGH, NJ",LODI HIGH,340885000000,LODI,3408850,BERGEN COUNTY,34003,99 PUTNAM ST,LODI,NJ,7644,1429,9734786100,1-Regular school,1-Local school district,1-Currently operational,2-No,40.885636,-74.08603,50,32740
"LOGAN ELEM SCHOOL, NJ",LOGAN ELEM SCHOOL,340888000000,LOGAN TOWNSHIP,3408880,GLOUCESTER COUNTY,34015,110 SCHOOL LN,LOGAN TWP,NJ,8085,1545,8564675133,1-Regular school,1-Local school district,1-Currently operational,2-No,39.751239,-75.353956,40,152750
"LOMBARDY ELEMENTARY SCHOOL, DE",LOMBARDY ELEMENTARY SCHOOL,100124000000,BRANDYWINE SCHOOL DISTRICT,1001240,NEW CASTLE COUNTY,10003,412 FOULK RD,WILMINGTON,DE,19803,3880,3027627190,1-Regular school,1-Local school district,1-Currently operational,2-No,39.785366,-75.536906,130,31
"LONG BEACH ISLAND GRADE, NJ",LONG BEACH ISLAND GRADE,340891000000,LONG BEACH ISLAND,3408910,OCEAN COUNTY,34029,201  267 20TH ST,SHIP BOTTOM,NJ,8008,4398,6094948851,1-Regular school,1-Local school district,1-Currently operational,2-No,39.641749,-74.1799,50,292760
"LONG BEACH MIDDLE SCHOOL, NY",LONG BEACH MIDDLE SCHOOL,361773000000,LONG BEACH CITY SCHOOL DISTRICT,3617730,NASSAU COUNTY,36059,239 LIDO BLVD,LONG BEACH,NY,11561,5094,5168972162,1-Regular school,1-Local school district,1-Currently operational,2-No,40.588063,-73.627886,280300000000,280300000000
"LONG BEACH SENIOR HIGH SCHOOL, NY",LONG BEACH SENIOR HIGH SCHOOL,361773000000,LONG BEACH CITY SCHOOL DISTRICT,3617730,NASSAU COUNTY,36059,322 LAGOON DR WEST,LONG BEACH,NY,11561,4999,5168972012,1-Regular school,1-Local school district,1-Currently operational,2-No,40.593636,-73.632854,280300000000,280300000000
"LONG BRANCH ELEMENTARY SCHOOL, NY",LONG BRANCH ELEMENTARY SCHOOL,361752000000,LIVERPOOL CENTRAL SCHOOL DISTRICT,3617520,ONONDAGA COUNTY,36067,4035 LONG BRANCH RD,LIVERPOOL,NY,13088,3199,3154530261,1-Regular school,1-Local school district,1-Currently operational,2-No,43.127562,-76.232447,421501000000,421501000000
"LONG BRANCH HIGH, NJ",LONG BRANCH HIGH,340894000000,LONG BRANCH,3408940,MONMOUTH COUNTY,34025,391 WESTWOOD AVE,LONG BRANCH,NJ,7740,5557,7322297300,1-Regular school,1-Local school district,1-Currently operational,2-No,40.291451,-73.994099,50,252770
"LONG BRANCH MIDDLE, NJ",LONG BRANCH MIDDLE,340894000000,LONG BRANCH,3408940,MONMOUTH COUNTY,34025,350 INDIANA AVE,LONG BRANCH,NJ,7740,6192,7322295533,1-Regular school,1-Local school district,1-Currently operational,2-No,40.291512,-73.989684,60,252770
"LONG HILL SCHOOL, CT",LONG HILL SCHOOL,90405000803,SHELTON SCHOOL DISTRICT,904050,FAIRFIELD COUNTY,9001,565 LONG HILL AVE,SHELTON,CT,6484,4808,2039294077,1-Regular school,1-Local school district,1-Currently operational,2-No,41.283714,-73.098383,8,126
"LONG ISLAND CITY HIGH SCHOOL, NY",LONG ISLAND CITY HIGH SCHOOL,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,QUEENS COUNTY,36081,1430 BROADWAY,LONG ISLAND CITY,NY,11106,,7185457095,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.766196,-73.933517,343000000000,343000000000
"LONG LAKE CENTRAL SCHOOL, NY",LONG LAKE CENTRAL SCHOOL,361776000000,LONG LAKE CENTRAL SCHOOL DISTRICT,3617760,HAMILTON COUNTY,36041,20 SCHOOL LN,LONG LAKE,NY,12847,217,5186242147,1-Regular school,1-Local school district,1-Currently operational,2-No,43.97205,-74.420981,200701000000,200701000000
"LONG LOTS SCHOOL, CT",LONG LOTS SCHOOL,90504001056,WESTPORT SCHOOL DISTRICT,905040,FAIRFIELD COUNTY,9001,13 HYDE LN,WESTPORT,CT,6880,3915,2033411910,1-Regular school,1-Local school district,1-Currently operational,2-No,41.143758,-73.315137,7,158
"LONG MEADOW ELEMENTARY SCHOOL, CT",LONG MEADOW ELEMENTARY SCHOOL,90353700708,REGIONAL SCHOOL DISTRICT 15,903537,NEW HAVEN COUNTY,9009,65 NORTH BENSON RD,MIDDLEBURY,CT,6762,3214,2037581144,1-Regular school,1-Local school district,1-Currently operational,2-No,41.504997,-73.153232,7,215
"LONG MEMORIAL, NJ",LONG MEMORIAL,341449000000,SADDLE BROOK TOWNSHIP,3414490,BERGEN COUNTY,34003,260 FLORAL LN,SADDLE BROOK,NJ,7662,5099,2017966250,1-Regular school,1-Local school district,1-Currently operational,2-No,40.915593,-74.103666,90,34610
"LONG NECK ELEMENTARY SCHOOL, DE",LONG NECK ELEMENTARY SCHOOL,100068000000,INDIAN RIVER SCHOOL DISTRICT,1000680,SUSSEX COUNTY,10005,26064 SCHOOL LN,MILLSBORO,DE,19966,1199,3029456200,1-Regular school,1-Local school district,1-Currently operational,2-No,38.629914,-75.184683,690,36
"LONG POND, NJ",LONG POND,340090000000,ANDOVER REGIONAL,3400900,SUSSEX COUNTY,34037,707 LIMECREST RD,NEWTON,NJ,7860,8801,9739401234,1-Regular school,1-Local school district,1-Currently operational,2-No,41.035645,-74.701279,40,370090
"LONG RIVER MIDDLE SCHOOL, CT",LONG RIVER MIDDLE SCHOOL,90353800756,REGIONAL SCHOOL DISTRICT 16,903538,NEW HAVEN COUNTY,9009,38 COLUMBIA AVE,PROSPECT,CT,6712,1638,2037584421,1-Regular school,1-Local school district,1-Currently operational,2-No,41.503291,-72.978016,51,216
"LONG VALLEY MIDDLE SCHOOL, NJ",LONG VALLEY MIDDLE SCHOOL,341713000000,WASHINGTON TOWNSHIP,3417130,MORRIS COUNTY,34027,51 WEST MILL RD,LONG VALLEY,NJ,7853,9200,9088763434,1-Regular school,1-Local school district,1-Currently operational,2-No,40.782835,-74.78533,35,275520
"LONGFELLOW, NJ",LONGFELLOW,341287000000,PENNSAUKEN TOWNSHIP,3412870,CAMDEN COUNTY,34007,GROSS AND FORREST AVE,PENNSAUKEN,NJ,8110,3508,8566629037,1-Regular school,1-Local school district,1-Currently operational,2-No,39.96462,-75.063914,160,74060
"LONGFELLOW MIDDLE SCHOOL, NY",LONGFELLOW MIDDLE SCHOOL,362010000000,MOUNT VERNON SCHOOL DISTRICT,3620100,WESTCHESTER COUNTY,36119,624 SOUTH 3RD AVE,MOUNT VERNON,NY,10550,,9146655150,1-Regular school,1-Local school district,1-Currently operational,2-No,40.896255,-73.828966,660900000000,660900000000
"LONGFELLOW SCHOOL, NY",LONGFELLOW SCHOOL,362010000000,MOUNT VERNON SCHOOL DISTRICT,3620100,WESTCHESTER COUNTY,36119,625 SOUTH 4TH AVE,MOUNT VERNON,NY,10550,4989,9146655100,1-Regular school,1-Local school district,1-Currently operational,2-No,40.8968,-73.831337,660900000000,660900000000
"LONGFELLOW SCHOOL, CT",LONGFELLOW SCHOOL,90045000073,BRIDGEPORT SCHOOL DISTRICT,900450,FAIRFIELD COUNTY,9001,139 OCEAN TERRACE,BRIDGEPORT,CT,6605,2716,2035768036,1-Regular school,1-Local school district,1-Currently operational,2-No,41.159407,-73.219479,19,15
"LONGRIDGE SCHOOL, NY",LONGRIDGE SCHOOL,361263000000,GREECE CENTRAL SCHOOL DISTRICT,3612630,MONROE COUNTY,36055,190 LONGRIDGE AVE,ROCHESTER,NY,14616,3599,5859665800,1-Regular school,1-Local school district,1-Currently operational,2-No,43.227189,-77.653707,260501000000,260501000000
"LONGWOOD HIGH SCHOOL, NY",LONGWOOD HIGH SCHOOL,361923000000,LONGWOOD CENTRAL SCHOOL DISTRICT,3619230,SUFFOLK COUNTY,36103,100 LONGWOOD RD,MIDDLE ISLAND,NY,11953,2000,6313459200,1-Regular school,1-Local school district,1-Currently operational,2-No,40.865102,-72.93548,580212000000,580212000000
"LONGWOOD JUNIOR HIGH SCHOOL, NY",LONGWOOD JUNIOR HIGH SCHOOL,361923000000,LONGWOOD CENTRAL SCHOOL DISTRICT,3619230,SUFFOLK COUNTY,36103,198 LONGWOOD RD,MIDDLE ISLAND,NY,11953,2000,6313452701,1-Regular school,1-Local school district,1-Currently operational,2-No,40.865115,-72.934347,580212000000,580212000000
"LONGWOOD MIDDLE SCHOOL, NY",LONGWOOD MIDDLE SCHOOL,361923000000,LONGWOOD CENTRAL SCHOOL DISTRICT,3619230,SUFFOLK COUNTY,36103,41 YPHNKMID ISL RD,MIDDLE ISLAND,NY,11953,2369,6313452736,1-Regular school,1-Local school district,1-Currently operational,2-No,40.877218,-72.939369,580212000000,580212000000
"LOPATCONG ELEM SCHOOL, NJ",LOPATCONG ELEM SCHOOL,340900000000,LOPATCONG TOWNSHIP,3409000,WARREN COUNTY,34041,263 ROUTE 57,PHILLIPSBURG,NJ,8865,9411,9088590800,1-Regular school,1-Local school district,1-Currently operational,2-No,40.700039,-75.157317,50,412790
"LOPATCONG TWP MS, NJ",LOPATCONG TWP MS,340900000000,LOPATCONG TOWNSHIP,3409000,WARREN COUNTY,34041,321 STONEHENGE DR,PHILLIPSBURG,NJ,8865,,9082132995,1-Regular school,1-Local school district,1-Currently operational,2-No,40.717096,-75.165282,60,412790
"LORD BALTIMORE ELEMENTARY SCHOOL, DE",LORD BALTIMORE ELEMENTARY SCHOOL,100068000000,INDIAN RIVER SCHOOL DISTRICT,1000680,SUSSEX COUNTY,10005,120 ATLANTIC AVE,OCEAN VIEW,DE,19970,21,3025372700,1-Regular school,1-Local school district,1-Currently operational,2-No,38.545333,-75.098138,736,36
"LORD STIRLING, NJ",LORD STIRLING,341122000000,NEW BRUNSWICK,3411220,MIDDLESEX COUNTY,34023,101 REDMOND ST,NEW BRUNSWICK,NJ,8901,1343,7327455300,1-Regular school,1-Local school district,1-Currently operational,2-No,40.487124,-74.441182,100,233530
"LORDSHIP SCHOOL, CT",LORDSHIP SCHOOL,90444000893,STRATFORD SCHOOL DISTRICT,904440,FAIRFIELD COUNTY,9001,254 CROWN ST,STRATFORD,CT,6615,7511,2033854170,1-Regular school,1-Local school district,1-Currently operational,2-No,41.153843,-73.125872,8,138
"LORETTA PARK ELEMENTARY SCHOOL, NY",LORETTA PARK ELEMENTARY SCHOOL,360528000000,BRENTWOOD UNION FREE SCHOOL DISTRICT,3605280,SUFFOLK COUNTY,36103,77 STAHLEY ST,BRENTWOOD,NY,11717,7500,6314342246,1-Regular school,1-Local school district,1-Currently operational,2-No,40.76067,-73.227233,580512000000,580512000000
"LORING  FLEMMING, NJ",LORING  FLEMMING,340603000000,GLOUCESTER TOWNSHIP,3406030,CAMDEN COUNTY,34007,LITTLE GLOUCESTER RD,BLACKWOOD,NJ,8012,3311,8562274045,1-Regular school,1-Local school district,1-Currently operational,2-No,39.793901,-75.037617,90,71780
"LORRAINE ELEMENTARY SCHOOL, NY",LORRAINE ELEMENTARY SCHOOL,360585000000,BUFFALO CITY SCHOOL DISTRICT,3605850,ERIE COUNTY,36029,425 SOUTH PARK AVE,BUFFALO,NY,14204,1795,7168164809,1-Regular school,1-Local school district,1-Currently operational,2-No,42.871624,-78.863899,140600000000,140600000000
"LOSS (OLIVE B.) ELEMENTARY SCHOOL, DE",LOSS (OLIVE B.) ELEMENTARY SCHOOL,100008000000,APPOQUINIMINK SCHOOL DISTRICT,1000080,NEW CASTLE COUNTY,10003,200 BRENNAN BLVD,BEAR,DE,19701,,3028321343,1-Regular school,1-Local school district,1-Currently operational,2-No,39.559724,-75.742227,20,29
"LOUDENSLAGER, NJ",LOUDENSLAGER,341272000000,PAULSBORO,3412720,GLOUCESTER COUNTY,34015,100 BAIRD AVE,PAULSBORO,NJ,8066,1536,8564232228,1-Regular school,1-Local school district,1-Currently operational,2-No,39.826238,-75.241736,70,154020
"LOUIS D BRANDEIS HIGH SCHOOL, NY",LOUIS D BRANDEIS HIGH SCHOOL,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 3,3600078,NEW YORK COUNTY,36061,145 WEST 84TH ST,NEW YORK,NY,10024,4603,9174415600,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.785749,-73.974356,310300000000,310300000000
"LOUIS M KLEIN MIDDLE SCHOOL, NY",LOUIS M KLEIN MIDDLE SCHOOL,361374000000,HARRISON CENTRAL SCHOOL DISTRICT,3613740,WESTCHESTER COUNTY,36119,50 UNION AVE,HARRISON,NY,10528,2032,9146303033,1-Regular school,1-Local school district,1-Currently operational,2-No,40.979667,-73.716583,660501000000,660501000000
"LOUIS TOFFOLON SCHOOL, CT",LOUIS TOFFOLON SCHOOL,90330000702,PLAINVILLE SCHOOL DISTRICT,903300,HARTFORD COUNTY,9003,145 NORTHWEST DR,PLAINVILLE,CT,6062,1534,8607933280,1-Regular school,1-Local school district,1-Currently operational,2-No,41.686261,-72.884675,5,110
"LOUIS V DENTI ELEMENTARY SCHOOL, NY",LOUIS V DENTI ELEMENTARY SCHOOL,362490000000,ROME CITY SCHOOL DISTRICT,3624900,ONEIDA COUNTY,36065,1001 RUBY ST,ROME,NY,13440,2565,3153385360,1-Regular school,1-Local school district,1-Currently operational,2-No,43.232961,-75.462471,411800000000,411800000000
"LOUISE A  SPENCER, NJ",LOUISE A  SPENCER,341134000000,NEWARK,3411340,ESSEX COUNTY,34013,66 MUHAMMAD ALI BLVD,NEWARK,NJ,7108,2914,9737336931,1-Regular school,1-Local school district,1-Currently operational,2-No,40.725922,-74.187428,495,133570
"LOUNSBERRY HOLLOW, NJ",LOUNSBERRY HOLLOW,341671000000,VERNON TOWNSHIP,3416710,SUSSEX COUNTY,34037,30 SAMMIS RD,VERNON,NJ,7462,219,9737648745,1-Regular school,1-Local school district,1-Currently operational,2-No,41.219487,-74.501525,30,375360
"LOVEJOY DISCOVERY SCHOOL #43, NY",LOVEJOY DISCOVERY SCHOOL #43,360585000000,BUFFALO CITY SCHOOL DISTRICT,3605850,ERIE COUNTY,36029,161 BENZINGER ST,BUFFALO,NY,14206,1498,7168163260,1-Regular school,1-Local school district,1-Currently operational,2-No,42.889245,-78.806164,140600000000,140600000000
"LOWELL, NJ",LOWELL,341608000000,TEANECK,3416080,BERGEN COUNTY,34003,1025 LINCOLN PLACE,TEANECK,NJ,7666,2699,2018335550,1-Regular school,1-Local school district,1-Currently operational,2-No,40.895737,-74.023035,130,35150
"LOWER ALLOWAYS CREEK, NJ",LOWER ALLOWAYS CREEK,340903000000,LOWER ALLOWAYS CREEK TOWN,3409030,SALEM COUNTY,34033,967 MAIN ST CANTON,SALEM,NJ,8079,3408,8569352707,1-Regular school,1-Local school district,1-Currently operational,2-No,39.465452,-75.409757,50,332800
"LOWER CAPE MAY REG HIGH, NJ",LOWER CAPE MAY REG HIGH,340909000000,LOWER CAPE MAY REGIONAL,3409090,CAPE MAY COUNTY,34009,687ROUTE 9,CAPE MAY,NJ,8204,4697,6098843475,1-Regular school,1-Local school district,1-Currently operational,2-No,38.978866,-74.907786,50,92820
"LOWER EAST SIDE PREPARATORY HIGH SCHOOL, NY",LOWER EAST SIDE PREPARATORY HIGH SCHOOL,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,3600076,NEW YORK COUNTY,36061,145 STANTON ST4TH FL,NEW YORK,NY,10002,,2125056366,4-Alternative/other school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.720569,-73.985764,310100000000,310100000000
"LOWER MANHATTAN ARTS ACADEMY, NY",LOWER MANHATTAN ARTS ACADEMY,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,NEW YORK COUNTY,36061,350 GRAND ST,NEW YORK,NY,10002,,2125050143,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.716854,-73.989594,310200000000,310200000000
"LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL, NY",LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,NEW YORK COUNTY,36061,26 BROADWAY6TH FL,NEW YORK,NY,10004,,6468268100,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.705496,-74.013317,310200000000,310200000000
"LOWVILLE ELEMENTARY SCHOOL, NY",LOWVILLE ELEMENTARY SCHOOL,361782000000,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,3617820,LEWIS COUNTY,36049,7668 NORTH STATE ST,LOWVILLE,NY,13367,1328,3153769005,1-Regular school,1-Local school district,1-Currently operational,2-No,43.789105,-75.494004,230901000000,230901000000
"LOWVILLE HIGH SCHOOL, NY",LOWVILLE HIGH SCHOOL,361782000000,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,3617820,LEWIS COUNTY,36049,7668 NORTH STATE ST,LOWVILLE,NY,13367,1328,3153769015,1-Regular school,1-Local school district,1-Currently operational,2-No,43.789105,-75.494004,230901000000,230901000000
"LOWVILLE MIDDLE SCHOOL, NY",LOWVILLE MIDDLE SCHOOL,361782000000,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,3617820,LEWIS COUNTY,36049,7668 NORTH STATE ST,LOWVILLE,NY,13367,1328,3153769010,1-Regular school,1-Local school district,1-Currently operational,2-No,43.789105,-75.494004,230901000000,230901000000
"LUCY N HOLMAN ELEM, NJ",LUCY N HOLMAN ELEM,340774000000,JACKSON TOWNSHIP,3407740,OCEAN COUNTY,34029,125 MANHATTAN ST,JACKSON,NJ,8527,3497,7328334620,1-Regular school,1-Local school district,1-Currently operational,2-No,40.11611,-74.287667,46,292360
"LUIS MUNOZ MARIN MIDDLE, NJ",LUIS MUNOZ MARIN MIDDLE,341134000000,NEWARK,3411340,ESSEX COUNTY,34013,663 BROADWAY,NEWARK,NJ,7104,3401,9732685330,1-Regular school,1-Local school district,1-Currently operational,2-No,40.773143,-74.16079,100,133570
"LUIS MUNOZ MARIN SCHOOL, CT",LUIS MUNOZ MARIN SCHOOL,90045000001,BRIDGEPORT SCHOOL DISTRICT,900450,FAIRFIELD COUNTY,9001,479 HELEN ST,BRIDGEPORT,CT,6608,1321,2035768202,1-Regular school,1-Local school district,1-Currently operational,2-No,41.192884,-73.174254,10,15
"LUMBERTON CAMPUS, NJ",LUMBERTON CAMPUS,340244000000,BURLINGTON COUNTY SPECIAL,3402440,BURLINGTON COUNTY,34005,71 ARK RD,LUMBERTON,NJ,8048,,6099535608,2-Special education school,1-Local school district,1-Currently operational,2-No,39.933199,-74.85048,55,50605
"LUMBERTON MIDDLE SCHOOL, NJ",LUMBERTON MIDDLE SCHOOL,340918000000,LUMBERTON TOWNSHIP,3409180,BURLINGTON COUNTY,34005,30 DIMSDALE DR,LUMBERTON,NJ,8048,,6092650123,1-Regular school,1-Local school district,1-Currently operational,2-No,39.972369,-74.784938,60,52850
"LUTHER LEE EMERSON SCHOOL, NJ",LUTHER LEE EMERSON SCHOOL,340381000000,DEMAREST,3403810,BERGEN COUNTY,34003,15 COLUMBUS RD,DEMAREST,NJ,7627,2031,2017842084,1-Regular school,1-Local school district,1-Currently operational,2-No,40.956213,-73.971023,50,31070
"LYMAN HALL HIGH SCHOOL, CT",LYMAN HALL HIGH SCHOOL,90474000955,WALLINGFORD SCHOOL DISTRICT,904740,NEW HAVEN COUNTY,9009,70 POND HILL RD,WALLINGFORD,CT,6492,4809,2032945350,1-Regular school,1-Local school district,1-Currently operational,2-No,41.436773,-72.821399,61,148
"LYMAN MEMORIAL HIGH SCHOOL, CT",LYMAN MEMORIAL HIGH SCHOOL,90213000396,LEBANON SCHOOL DISTRICT,902130,NEW LONDON COUNTY,9011,917 EXETER RD,LEBANON,CT,6249,1742,8606427567,1-Regular school,1-Local school district,1-Currently operational,2-No,41.625743,-72.240734,62,71
"LYME CENTRAL SCHOOL, NY",LYME CENTRAL SCHOOL,361788000000,LYME CENTRAL SCHOOL DISTRICT,3617880,JEFFERSON COUNTY,36045,11868 ACADEMY ST,CHAUMONT,NY,13622,219,3156492417,1-Regular school,1-Local school district,1-Currently operational,2-No,44.066765,-76.134373,221301000000,221301000000
"LYME CONSOLIDATED SCHOOL, CT",LYME CONSOLIDATED SCHOOL,90354000762,REGIONAL SCHOOL DISTRICT 18,903540,NEW LONDON COUNTY,9011,ROUTE 156,LYME,CT,6371,3123,8604341233,1-Regular school,1-Local school district,1-Currently operational,2-No,41.322717,-72.340445,1,218
